date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:10	50986/50986	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:33%20GMT	https://mourithemes.com/mouri/js/jquery.mixitup.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/jquery.mixitup.js	(from https://mourithemes.com/mouri/)
14:55:12	12130/12130	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:44%20GMT	https://mourithemes.com/mouri/js/typed.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/typed.js	(from https://mourithemes.com/mouri/)
14:55:32	43009/43009	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:40%20GMT	https://mourithemes.com/mouri/js/particles.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/particles.js	(from https://mourithemes.com/mouri/)
14:55:33	2821/2821	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:26%20GMT	https://mourithemes.com/mouri/js/app.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/app.js	(from https://mourithemes.com/mouri/)
14:55:35	11730/11730	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:46%20GMT	https://mourithemes.com/mouri/js/validator.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/validator.js	(from https://mourithemes.com/mouri/)
14:55:36	1723/1723	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:27%20GMT	https://mourithemes.com/mouri/js/contact.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/contact.js	(from https://mourithemes.com/mouri/)
14:55:38	2418/2418	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:33%20GMT	https://mourithemes.com/mouri/js/main.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/main.js	(from https://mourithemes.com/mouri/)
14:55:41	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Nov%202017%2015:57:01%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfont3e6e.eot	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:55:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Nov%202017%2015:57:01%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.eot?	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfontd41d.eot	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:55:45	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2030%20Nov%202017%2015:57:12%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfont3e6e.woff2	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:55:46	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2030%20Nov%202017%2015:57:07%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfont3e6e.woff	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:55:48	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2030%20Nov%202017%2015:57:09%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfont3e6e.ttf	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:55:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Nov%202017%2015:57:14%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.eot	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regular.eot	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:55:54	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Nov%202017%2015:57:14%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.eot?	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regulard41d.eot	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:55:56	18028/18028	---M--	200	added ('OK')	font/woff2	date:Thu,%2030%20Nov%202017%2015:57:19%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.woff2	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regular.woff2	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:55:56	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Nov%202017%2015:57:04%20GMT	https://mourithemes.com/mouri/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/fontawesome-webfont3e6e.svg	(from https://mourithemes.com/mouri/css/font-awesome.min.css)
14:56:01	23424/23424	---M--	200	added ('OK')	font/woff	date:Thu,%2030%20Nov%202017%2015:57:18%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.woff	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regular.woff	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:56:05	45404/45404	---M--	200	added ('OK')	font/ttf	date:Thu,%2030%20Nov%202017%2015:57:17%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.ttf	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regular.ttf	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:56:08	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Nov%202017%2015:57:15%20GMT	https://mourithemes.com/mouri/fonts/glyphicons-halflings-regular.svg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/fonts/glyphicons-halflings-regular.svg	(from https://mourithemes.com/mouri/css/bootstrap.min.css)
14:56:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Apr%202020%2008:56:10%20GMT	https://mourithemes.com/mouri/css/owl.video.play.png	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/css/owl.video.play.40.delayed	(from https://mourithemes.com/mouri/css/owl.carousel.css)
14:56:14	370540/370540	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:57:55%20GMT	https://mourithemes.com/mouri/images/home/banner3.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/home/banner3.jpg	(from https://mourithemes.com/mouri/css/style.css)
